OBJECTID,zcta,bcode,mark
1,10001,36061,0
2,10002,36061,0
3,10003,36061,0
4,10004,36061,0
5,10005,36061,0
6,10006,36061,0
7,10007,36061,0
8,10009,36061,0
9,10010,36061,0
10,10011,36061,0
11,10012,36061,0
12,10013,36061,0
13,10014,36061,0
14,10016,36061,0
15,10017,36061,0
16,10018,36061,0
17,10019,36061,0
18,10020,36061,0
19,10021,36061,0
20,10022,36061,0
21,10023,36061,0
22,10024,36061,0
23,10025,36061,0
24,10026,36061,1
25,10027,36061,1
26,10028,36061,0
27,10029,36061,1
28,10030,36061,1
29,10031,36061,1
30,10032,36061,1
31,10033,36061,1
32,10034,36061,1
33,10035,36061,1
34,10036,36061,0
35,10037,36061,1
36,10038,36061,0
37,10039,36061,1
38,10040,36061,1
39,10044,36061,0
40,10065,36061,0
41,10069,36061,0
42,10075,36061,0
43,10103,36061,0
44,10110,36061,0
45,10111,36061,0
46,10112,36061,0
47,10115,36061,1
48,10119,36061,0
49,10128,36061,1
50,10152,36061,0
51,10153,36061,0
52,10154,36061,0
53,10162,36061,0
54,10165,36061,0
55,10167,36061,0
56,10168,36061,0
57,10169,36061,0
58,10170,36061,0
59,10171,36061,0
60,10172,36061,0
61,10173,36061,0
62,10174,36061,0
63,10177,36061,0
64,10199,36061,0
65,10271,36061,0
66,10278,36061,0
67,10279,36061,0
68,10280,36061,0
69,10282,36061,0
70,10301,36085,1
71,10302,36085,1
72,10303,36085,1
73,10304,36085,1
74,10305,36085,1
75,10306,36085,1
76,10307,36085,1
77,10308,36085,1
78,10309,36085,1
79,10310,36085,1
80,10311,36085,1
81,10312,36085,1
82,10314,36085,1
83,10451,36005,1
84,10452,36005,1
85,10453,36005,1
86,10454,36005,1
87,10455,36005,1
88,10456,36005,1
89,10457,36005,1
90,10458,36005,1
91,10459,36005,1
92,10460,36005,1
93,10461,36005,1
94,10462,36005,1
95,10463,36005,1
96,10464,36005,1
97,10465,36005,1
98,10466,36005,1
99,10467,36005,1
100,10468,36005,1
101,10469,36005,1
102,10470,36005,1
103,10471,36005,1
104,10472,36005,1
105,10473,36005,1
106,10474,36005,1
107,10475,36005,1
108,11001,36081,1
109,11003,36081,1
110,11004,36081,1
111,11005,36081,1
112,11040,36081,1
113,11101,36081,1
114,11102,36081,1
115,11103,36081,1
116,11104,36081,1
117,11105,36081,1
118,11106,36081,1
119,11109,36081,1
120,11201,36047,1
121,11203,36047,1
122,11204,36047,1
123,11205,36047,1
124,11206,36047,1
125,11207,36047,1
126,11208,36047,1
127,11209,36047,1
128,11210,36047,1
129,11211,36047,1
130,11212,36047,1
131,11213,36047,1
132,11214,36047,1
133,11215,36047,1
134,11216,36047,1
135,11217,36047,1
136,11218,36047,1
137,11219,36047,1
138,11220,36047,1
139,11221,36047,1
140,11222,36047,1
141,11223,36047,1
142,11224,36047,1
143,11225,36047,1
144,11226,36047,1
145,11228,36047,1
146,11229,36047,1
147,11230,36047,1
148,11231,36047,1
149,11232,36047,1
150,11233,36047,1
151,11234,36047,1
152,11235,36047,1
153,11236,36047,1
154,11237,36047,1
155,11238,36047,1
156,11239,36047,1
157,11351,36081,1
158,11354,36081,1
159,11355,36081,1
160,11356,36081,1
161,11357,36081,1
162,11358,36081,1
163,11359,36081,1
164,11360,36081,1
165,11361,36081,1
166,11362,36081,1
167,11363,36081,1
168,11364,36081,1
169,11365,36081,1
170,11366,36081,1
171,11367,36081,1
172,11368,36081,1
173,11369,36081,1
174,11370,36081,1
175,11371,36081,2
176,11372,36081,1
177,11373,36081,1
178,11374,36081,1
179,11375,36081,1
180,11377,36081,1
181,11378,36081,1
182,11379,36081,1
183,11385,36081,1
184,11411,36081,1
185,11412,36081,1
186,11413,36081,1
187,11414,36081,1
188,11415,36081,1
189,11416,36081,1
190,11417,36081,1
191,11418,36081,1
192,11419,36081,1
193,11420,36081,1
194,11421,36081,1
195,11422,36081,1
196,11423,36081,1
197,11424,36081,1
198,11425,36047,1
199,11426,36081,1
200,11427,36081,1
201,11428,36081,1
202,11429,36081,1
203,11430,36081,2
204,11432,36081,1
205,11433,36081,1
206,11434,36081,1
207,11435,36081,1
208,11436,36081,1
209,11451,36081,1
210,11691,36081,1
211,11692,36081,1
212,11693,36081,1
213,11694,36081,1
214,11697,36081,1
